source_group,source_name,source_url,source_year,record_no,date_text,location_text,category_text,body_text,confirmed_date,raw_html_file,parse_note
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,61,10月25日(土曜日) 午後4時00分頃,千歳市青葉丘の鉄北通用水橋から北西へ約300メートル進んだ付近,目撃,10月25日(土曜日) 午後4時00分頃、千歳市青葉丘の鉄北通用水橋から北西へ約300メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,60,10月24日(金曜日)午前3時40分頃,千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号付近,目撃,10月24日(金曜日)午前3時40分頃、千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号付近で南から北へ横断するクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by directional movement before bear sighting phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,59,10月22日(水曜日) 午後4時20分頃,千歳市真町の青葉公園内なかよしひろば付近,目撃,10月22日(水曜日) 午後4時20分頃、千歳市真町の青葉公園内なかよしひろば付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,58,10月22日(水曜日)午後1時00分頃,千歳市北信濃の北千歳駐屯地に隣接する演習場内,目撃,10月22日(水曜日)午後1時00分頃、千歳市北信濃の北千歳駐屯地に隣接する演習場内でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,57,10月21日(火曜日) 午後8時55分頃,千歳市泉沢の真町泉沢大通の市民スキー場バス停から千歳市街地方面へ約100メートル進んだ付近,目撃,10月21日(火曜日) 午後8時55分頃、千歳市泉沢の真町泉沢大通の市民スキー場バス停から千歳市街地方面へ約100メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,56,10月16日(木曜日) 午後4時20分頃,千歳市水明郷の道道支笏湖公園線（16号線）の烏柵舞林道入口から支笏湖方面に約300メートル進んだ付近,目撃,10月16日(木曜日) 午後4時20分頃、千歳市水明郷の道道支笏湖公園線（16号線）の烏柵舞林道入口から支笏湖方面に約300メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,55,10月16日(木曜日)午後2時10分頃,千歳市蘭越の道道支笏湖公園線（16号線）の蘭越共同墓地入口付近,目撃,10月16日(木曜日)午後2時10分頃、千歳市蘭越の道道支笏湖公園線（16号線）の蘭越共同墓地入口付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,54,10月16日(木曜日) 午前11時50分頃,千歳市水明郷の道道支笏湖公園線（16号線）の水明郷パーキングから支笏湖方面へ約300メートル進んだ付近,目撃,10月16日(木曜日) 午前11時50分頃、千歳市水明郷の道道支笏湖公園線（16号線）の水明郷パーキングから支笏湖方面へ約300メートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,53,10月8日(水曜日) 午後4時40分頃,千歳市中央のコムカラ峠付近,目撃,10月8日(水曜日) 午後4時40分頃、千歳市中央のコムカラ峠付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
千歳市,千歳市 2025年度 ヒグマ目撃情報,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,2025,52,9月27日(土曜日) 午後4時35分頃,千歳市水明郷の道道支笏湖公園線（16号線）の水明郷パーキングから支笏湖方面へ約2キロメートル進んだ付近,目撃,9月27日(土曜日) 午後4時35分頃、千歳市水明郷の道道支笏湖公園線（16号線）の水明郷パーキングから支笏湖方面へ約2キロメートル進んだ付近でクマの目撃情報がありました。十分ご注意ください。,2026-06-09,chitose-city_2025_2026-06-09.html,parsed from heading/body pattern; location extracted by direct location before bear phrase
