source_year,record_no,date_text,location_text,category_text,body_text,source_url,raw_html_file,relation_scope,matched_keywords,initial_inclusion_suggestion,suggestion_reason,pin_label_draft,review_status,reviewer_note
2025,5,5月1日(木曜日) 午前6時30分頃,千歳市奥潭の支笏湖畔、オコタンペ川河口付近,目撃,5月1日(木曜日) 午前6時30分頃、千歳市奥潭の支笏湖畔、オコタンペ川河口付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支笏湖, 奥潭",周辺参考候補,"支笏湖周辺キーワード一致: 支笏湖, 奥潭",2025.05 目撃,未確認,
2025,4,5月5日(火曜日) 午前7時22分頃,千歳市水明郷の道道支笏湖公園線（16号線）、烏柵舞林道入口付近,目撃,5月5日(火曜日) 午前7時22分頃、千歳市水明郷の道道支笏湖公園線（16号線）、烏柵舞林道入口付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支笏湖, 水明郷, 道道支笏湖公園線",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2025.05 目撃,未確認,
2025,2,4月25日(金曜日) 午後3時25分頃,千歳市泉沢の道道支笏湖公園線（16号線）の烏柵舞橋から支笏湖方面に約600メートル進んだ付近の山林,目撃,4月25日(金曜日) 午後3時25分頃、千歳市泉沢の道道支笏湖公園線（16号線）の烏柵舞橋から支笏湖方面に約600メートル進んだ付近の山林でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004300.html,chitose-city_2025_2026-06-09.html,支笏湖周辺,"支笏湖, 道道支笏湖公園線",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2025.04 目撃,未確認,
2024,64,3月17日(月曜日) 午前9時25分頃,千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号から千歳市街地方面へ約100m進んだ付近,目撃,3月17日(月曜日) 午前9時25分頃、千歳市西森の道道支笏湖公園線（16号線）の国道453号分岐点信号から千歳市街地方面へ約100m進んだ付近で北から南へ横断するクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004033.html,chitose-city_2024_2026-06-09.html,支笏湖周辺,"支笏湖, 西森, 道道支笏湖公園線, 国道453号",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2024.03 目撃,未確認,
2024,62,1月5日(日曜日) 午前11時05分頃,千歳市蘭越の道道支笏湖公園線（16号線）の烏柵舞橋東側の千歳川中州,目撃,1月5日(日曜日) 午前11時05分頃、千歳市蘭越の道道支笏湖公園線（16号線）の烏柵舞橋東側の千歳川中州でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004033.html,chitose-city_2024_2026-06-09.html,支笏湖周辺,"支笏湖, 道道支笏湖公園線",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2024.01 目撃,未確認,
2024,60,11月9日(土曜日)午後3時25分頃,千歳市支笏湖温泉の国道453号の翠明橋から北に約50m進んだ付近,目撃,11月9日(土曜日)午後3時25分頃、千歳市支笏湖温泉の国道453号の翠明橋から北に約50m進んだ付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004033.html,chitose-city_2024_2026-06-09.html,支笏湖周辺,"支笏湖温泉, 支笏湖, 国道453号",周辺参考候補,"支笏湖周辺キーワード一致: 支笏湖温泉, 支笏湖",2024.11 目撃,未確認,
2024,57,10月31日(木曜日) 午前7時20分頃,千歳市水明郷の道道支笏湖公園線（16号線）の水明郷パーキング付近,目撃,10月31日(木曜日) 午前7時20分頃、千歳市水明郷の道道支笏湖公園線（16号線）の水明郷パーキング付近で北から南へ横断するクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004033.html,chitose-city_2024_2026-06-09.html,支笏湖周辺,"支笏湖, 水明郷, 道道支笏湖公園線",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2024.10 目撃,未確認,
2024,56,10月31日(木曜日) 午前5時30分頃,千歳市美笛の国道276号の美笛トンネル東側の駐車帯付近,目撃,10月31日(木曜日) 午前5時30分頃、千歳市美笛の国道276号の美笛トンネル東側の駐車帯付近で南から北へ横断するクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004033.html,chitose-city_2024_2026-06-09.html,美笛近接,"美笛トンネル, 美笛, 国道276号",公開候補,"美笛関連キーワード一致: 美笛トンネル, 美笛",2024.10 目撃,未確認,
2024,50,10月26日(土曜日) 午前10時15分頃,千歳市泉沢の道道支笏湖公園線（16号線）の孵化場入口バス停から南へ約300m進んだ付近の山林,目撃,10月26日(土曜日) 午前10時15分頃、千歳市泉沢の道道支笏湖公園線（16号線）の孵化場入口バス停から南へ約300m進んだ付近の山林でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004033.html,chitose-city_2024_2026-06-09.html,支笏湖周辺,"支笏湖, 道道支笏湖公園線",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2024.10 目撃,未確認,
2024,47,9月19日(木曜日) 午後1時40分頃,千歳市水明郷の道道支笏湖公園線（16号線）の孵化場入口バス停付近,目撃,9月19日(木曜日) 午後1時40分頃、千歳市水明郷の道道支笏湖公園線（16号線）の孵化場入口バス停付近でクマの目撃情報がありました。十分ご注意ください。,https://www.city.chitose.lg.jp/c50/1002703/1002708/1004033.html,chitose-city_2024_2026-06-09.html,支笏湖周辺,"支笏湖, 水明郷, 道道支笏湖公園線",周辺参考候補,支笏湖周辺キーワード一致: 支笏湖,2024.09 目撃,未確認,
